Run,Best Fitness,Mean Fitness,Expected Return,Portfolio Variance,Weights,Training Time
11,0.023952005188732917,0.01892236249551221,0.023952005188732917,0.010616831771835825,"[0.06227305370564058, 0.09211803636158952, 0.057247909265573646, 0.09539250815513226, 0.0, 0.3443671100633305, 0.003472712398871743, 0.04297750150602592, 0.0, 0.02035388724791821, 0.031635387176787017, 0.0, 0.012265945467793743, 0.0, 0.0035211286638129917, 0.0, 0.11031009131056844, 0.07663330650646293, 0.012728184919415325, 0.034703237251077185]",0.0430300235748291
12,0.02986835822856261,0.02262243676635248,0.02986835822856261,0.017205833148911585,"[0.012605558861785009, 0.03839675701405803, 0.0, 0.03918905277541776, 0.0, 0.5115577919040709, 0.11193219683230099, 0.06422481833187448, 0.05969612314699952, 0.018242953287718775, 0.0, 0.0, 0.004325081199180141, 0.0, 0.0020177764730884727, 0.009685584155824288, 0.0, 0.05074589255209086, 0.037359232546938084, 0.040021180918652664]",0.04277610778808594
13,0.031096584239296867,0.022025871957768308,0.031096584239296867,0.0177190886951477,"[0.05372586468294804, 0.05473635905867361, 0.0, 0.0, 0.0, 0.5497365943113925, 0.0034548139724060955, 0.0, 0.055148492051188144, 0.01388195330204532, 0.0, 0.0060227588465512905, 0.010469398114733514, 0.03161195551465114, 0.0, 0.0, 0.0825461327776692, 0.08254680736475827, 0.0, 0.05611887000298292]",0.04299187660217285
14,0.02805926545812844,0.0205488240084667,0.02805926545812844,0.01595136413540441,"[0.14423891695877702, 0.0, 0.030496577792009084, 0.06842792629960956, 0.0, 0.4817231935603698, 0.0, 0.0, 0.005852491352927565, 0.03828069099962724, 0.0010135049848179185, 0.0, 0.0, 0.03892404509624389, 0.017500096727024798, 0.006354865742934633, 0.011674173809166338, 0.010156647685122016, 0.06820468188079805, 0.0771521871105721]",0.042752981185913086
15,0.0331384120154842,0.022523841755829492,0.0331384120154842,0.019055854179743488,"[0.013301924306294484, 0.16509805333451572, 0.026221578301517612, 0.0, 0.05710547148097387, 0.5418989309930518, 0.0, 0.11981744774008576, 0.04615406629516743, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0029383082670309682, 0.003759468963304645, 0.0, 0.0, 0.0, 0.02370475031805772]",0.04277515411376953
16,0.030343613424359733,0.02200283046596688,0.030343613424359733,0.015719373814016665,"[0.049901468537318396, 0.0, 0.0, 0.03327530867800757, 0.028027635257177514, 0.4415864157286105, 0.0, 0.21650518559910845, 0.0, 0.0028126037594932668, 0.013038654765874385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12728656141108388, 0.087566166263326, 0.0, 0.0]",0.042777061462402344
17,0.029426818199170562,0.022994936097875847,0.029426818199170562,0.016992172240059847,"[0.06073704664385809, 0.015998310454021412, 0.0, 0.03255288677794216, 0.0, 0.5047665494314238, 0.03941816493732901, 0.07005721785479423, 0.003278654765495313, 0.0, 0.04666037905391259, 0.0, 0.0, 0.0963131685809906, 0.005128405306581017, 0.008839340609581626, 0.08521498970694077, 0.0, 0.0, 0.031034885877129346]",0.04267430305480957
18,0.02832701395267894,0.02198780973776363,0.02832701395267894,0.017120928877555747,"[0.03309140082002916, 0.026770918408852266, 0.0153625471649224, 0.0594239425100403, 0.16817585521433123, 0.4973600818901498, 0.0, 0.08155023410127181, 0.014851205657578553, 0.00837160144166465, 0.00955467361366985, 0.0, 0.010540536539858444, 0.0, 0.0, 0.0, 0.0, 0.02547704027969215, 0.0, 0.0494699623579394]",0.04274916648864746
19,0.028276931701571317,0.020927972737618872,0.028276931701571317,0.01702539913546528,"[0.06200547121975728, 0.0, 0.0, 0.14299536322177517, 0.0, 0.49402714742962234, 0.04666812514563384, 0.03272531620007499, 0.047941395606625775, 0.0, 0.01973232999510589, 0.0, 0.018758130075327496, 0.10408312958003782, 0.0, 0.0021989075175791756, 0.02886468400846035, 0.0, 0.0, 0.0]",0.042542219161987305
20,0.03017689987105326,0.022538436090334686,0.03017689987105326,0.01865109684656851,"[0.0, 0.03093143766728472, 0.0, 0.0, 0.039931567749170914, 0.5672400016528101, 0.0, 0.0, 0.0, 0.0, 0.012666215378087306, 0.0, 0.0, 0.0, 0.07297199215393967, 0.0, 0.07424764262944476, 0.1780302855594608, 0.021929051896851032, 0.0020518053129507515]",0.04287004470825195
