Algorithm,Mean Return,Std Return,Coefficient of Variation
EP Basic,0.04147168600600184,0.0009989488196300634,0.02408748994399442
EP Advanced,0.018600575751608603,0.000379549052821506,0.020405231423477957
ES Basic,0.03867153268053687,0.0019801222363671034,0.051203614108723594
ES Advanced,0.011382641698564788,0.0015660538538052366,0.1375826363754116
ES (μ + λ),0.0449053805667456,0.000841925473183083,0.01874887736296273
"ES (μ, λ)",0.029695219618176703,0.0018110147080149287,0.06098674235453005
