Run,Best Fitness,Mean Fitness,Expected Return,Portfolio Variance,Weights,Training Time
1,0.0060186286613928205,0.00561190581110151,0.019449307741739984,0.004476893026782388,"[0.1834038073960787, 0.5973220595521894, 0.0, 0.0, 0.0, 0.07644790866675343, 0.0, 0.0, 0.0, 0.007061276604475232, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004725259925250461, 0.024305043858462876, 0.04398805666770563, 0.0, 0.06274658732908404]",0.1609210968017578
2,0.006418088115533394,0.006044597197576648,0.019251545760869876,0.00427781921511216,"[0.22060336008593254, 0.7530394662699603, 0.0, 0.0, 0.0, 0.008104986470862843, 0.0, 0.01127872518292257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006973461990321651, 0.0, 0.0, 0.0, 0.0]",0.16211318969726562
3,0.0063319747303071435,0.006091437133014971,0.017527835491849733,0.003731953587180863,"[0.07232716791165708, 0.7454116510783264, 0.0, 0.0, 0.0, 0.03905832565774359, 0.0, 0.00010886644780379002, 0.0, 0.0, 0.0, 0.0, 0.03300382985165347, 0.0, 0.002632774525600164, 0.018143487814286888, 0.05807696933932461, 0.02435830323935435, 0.0, 0.0068786241342497015]",0.1636638641357422
4,0.005984567177717972,0.005713107267784933,0.017666815407884152,0.0038940827433887265,"[0.1529057293646881, 0.712744030151567, 0.0, 0.0, 0.0, 0.02477866679771229, 0.0, 0.011878158981232907, 0.0, 0.0, 0.0, 0.05399741457666824, 0.0, 0.0012382859216742159, 0.0, 0.042457714206457324, 0.0, 0.0, 0.0, 0.0]",0.16270685195922852
5,0.006340178608051498,0.006021339857996145,0.018680408949769432,0.004113410113905978,"[0.02796779114447152, 0.9015517769005296, 0.0, 0.0, 0.0, 0.042317115503880086, 0.0, 0.0, 0.009501696823477467, 0.0, 0.0, 0.01258162130924997, 0.0, 0.0014212635957855562, 0.0, 0.004658734722605836, 0.0, 0.0, 0.0, 0.0]",0.1610870361328125
6,0.006114063334274691,0.005556906122785571,0.017252452208392915,0.0037127962913727415,"[0.18971659111134964, 0.7063838046894506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015476934499489706, 0.0, 0.0, 0.0412236711303857, 0.007766306395964598, 0.0, 0.0, 0.039432692173359915]",0.185211181640625
7,0.005548564012987162,0.005139397065429882,0.016804189423318773,0.0037518751367772037,"[0.10684443979595122, 0.6568655260570984, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05767856056482997, 0.0, 0.0, 0.0, 0.0018353414561334707, 0.00642797531432305, 0.0, 0.0, 0.0, 0.0679501941313108, 0.057285318131039695, 0.0, 0.04511264454931351]",0.16253185272216797
8,0.006393015128307304,0.005725757719318899,0.018064710183543272,0.0038905650184119893,"[0.14552584951441597, 0.7800621815479846, 0.0015924112517464646, 0.0, 0.0, 0.011568579472074278, 0.0, 0.0, 0.010577194383553739, 0.0, 0.0, 0.0068089227203545506, 0.007244344600444743, 0.004776013916546278, 0.0, 0.014621082824733504, 0.0, 0.01649605690914018, 0.0007273628590058072, 0.0]",0.16359782218933105
9,0.006529157931305166,0.0061437350631560125,0.018623226065140348,0.004031356044611727,"[0.13960248801595707, 0.7447090345435131, 0.0, 0.0, 0.0, 0.03579337494810815, 0.0, 0.0, 0.011142185524032325, 0.0, 0.0, 0.0006456239755359441, 0.019106692068292568, 0.0, 0.0036979049919696207, 0.0, 0.01838381428826809, 0.02691888164432311, 0.0, 0.0]",0.16286706924438477
10,0.0060301936007066265,0.005757829139856217,0.018744905134931218,0.004238237178074864,"[0.025649255910710184, 0.7510164335669226, 0.0, 0.0, 0.0, 0.0766879058066434, 0.0, 0.016073486244867752, 0.021349026459310923, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02357646793886652, 0.04769256462949395, 0.0, 0.0, 0.03795485944318456]",0.16266083717346191
11,0.005847179009274816,0.005240587541178002,0.017985456781718995,0.004046092590814726,"[0.1178195589616452, 0.644144529754086, 0.0, 0.0, 0.0, 0.037230431609465674, 0.0, 0.033076497931504446, 0.0, 0.008508999855452472, 0.0, 0.014650831039582654, 0.0, 0.0, 0.005655890093011197, 0.006108865145574416, 0.12024052401677308, 0.012563871592904858, 0.0, 0.0]",0.16241216659545898
12,0.0060107193790352,0.005349611017442616,0.018929485421443026,0.004306255347469275,"[0.32516482038856676, 0.5445553070193928, 0.0, 0.0, 0.0, 0.009879166563540424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014957898330314889, 0.0, 0.0, 0.0, 0.10544280769818497, 0.0, 0.0]",0.1624741554260254
13,0.0060529298817944,0.005591893669771011,0.01813501493717436,0.0040273616851266535,"[0.17096189744583157, 0.7821651432194494, 0.0, 0.0, 0.014689373287328271, 0.0, 0.021403321687927666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009528796295007348, 0.0, 0.0012514680644557827, 0.0, 0.0]",0.1629807949066162
