Run,Mean Fitness,Expected Return,Portfolio Variance,Weights,Mean Fitness over Generations,Training Time
11,0.030860910228816693,0.03625174067273981,0.023170521596202517,"[0.21770195753653934, 0.0, 0.0, 0.0, 0.0371891703094539, 0.622488247235304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02659725817924419, 0.0, 0.0, 0.0, 0.0960233667394586, 0.0, 0.0, 0.0]",0.030860910228816693,0.01183319091796875
12,0.03072216643304834,0.03602103823033762,0.026073082832072256,"[0.0, 0.003933361318691983, 0.04326180338618979, 0.0, 0.0, 0.6986855520353765, 0.0, 0.06111242766817993, 0.00946674709652615, 0.0, 0.0, 0.027266001334404096, 0.0, 0.006779018748198266, 0.022722020179461563, 0.04856128511121866, 0.0, 0.0, 0.07821178312175296, 0.0]",0.03072216643304834,0.011732816696166992
13,0.031941919014121585,0.03710035184436429,0.02415640047670277,"[0.20578420461092947, 0.0, 0.05555382766906445, 0.0, 0.0, 0.638489121520299, 0.0, 0.0, 0.0, 0.019920063029724426, 0.0026812633612049415, 0.002027768647157825, 0.0, 0.0, 0.0, 0.059646565418822156, 0.015897185742797654, 0.0, 0.0, 0.0]",0.031941919014121585,0.011750936508178711
14,0.03137852258111859,0.040183895979490986,0.03100263759312847,"[0.0, 0.025851845656971555, 0.07778735880982289, 0.0, 0.0, 0.7800083779814093, 0.0, 0.009030383624748438, 0.076858396422459, 0.0, 0.0036361511499196195, 0.0, 0.0, 0.0, 0.0, 0.0015659020958510754, 0.0, 0.02526158425881813, 0.0, 0.0]",0.03137852258111859,0.01188206672668457
15,0.03194700109366911,0.0384344779653376,0.027643798480119157,"[0.039351029253717015, 0.0, 0.09354304066349586, 0.0, 0.0, 0.7250157050621179, 0.0, 0.015272120139640926, 0.0, 0.0, 0.0, 0.0, 0.015241544296192922, 0.0, 0.0, 0.025149623692284125, 0.08368530523690575, 0.0027416316556456133, 0.0, 0.0]",0.03194700109366911,0.011871099472045898
16,0.03171285548600315,0.037852188762992345,0.02707716959881347,"[0.0786714416910954, 0.0, 0.0, 0.0, 0.0, 0.706128946207064, 0.10402390677960831, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0031564925320328122, 0.0, 0.09509322400995203, 0.0, 0.0, 0.0, 0.012925988780247429]",0.03171285548600315,0.011854887008666992
17,0.032479202427535526,0.041260976008087535,0.0342838102552624,"[0.0, 0.0, 0.0, 0.01661626554710263, 0.0, 0.8324237402462074, 0.0, 0.0, 0.0, 0.0, 0.06161418529430566, 0.0, 0.0, 0.009261983005640179, 0.0, 0.0, 0.08008382590674411, 0.0, 0.0, 0.0]",0.032479202427535526,0.011980056762695312
18,0.03137320884973562,0.03702104119835123,0.026307648234795984,"[0.1463281305799816, 0.0, 0.0, 0.018009933105296434, 7.510902505045688e-05, 0.6887420684577377, 0.0, 0.0, 0.0003377244803997908, 0.004524515365442617, 0.0, 0.004168873630089561, 0.0, 0.0, 0.07070816300426065, 0.0, 0.0, 0.02293017232430374, 0.0, 0.044175310027437444]",0.03137320884973562,0.012085914611816406
19,0.03293141423688675,0.041499073002431004,0.03351077640959943,"[0.018205754820505807, 0.02893638819565846, 0.0, 0.0, 0.0, 0.8085450099403948, 0.09269224342251846, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007641487502620188, 0.017198621237569767, 0.0, 0.011361551120275782, 0.0, 0.01541894376045655, 0.0, 0.0]",0.03293141423688675,0.011883974075317383
20,0.033002784925162405,0.038566947684018346,0.029796179118994015,"[0.0, 0.0, 0.11703335896772443, 0.0, 0.03437573313331395, 0.7586400353137007, 0.0, 0.0, 0.0321071990248368, 0.0, 0.0, 0.0, 0.0, 0.008919249627272561, 0.0, 0.0025971730349901127, 0.005297275819289162, 0.022415547216759042, 0.01861442786211324, 0.0]",0.033002784925162405,0.011968135833740234
21,0.030303715493408236,0.03902132931006788,0.029335636473337406,"[0.05761398061104325, 0.0, 0.0, 0.03258853342317445, 0.0033580056411915173, 0.7454813215035807, 0.0, 0.02648628853950974, 0.09347892309491969, 0.0, 0.016812058986318885, 0.01944231210299315, 0.0, 0.0, 0.0, 0.004122177438674523, 0.0, 0.0006163986585940466, 0.0, 0.0]",0.030303715493408236,0.011976957321166992
22,0.03143009589445396,0.039058635413797976,0.02859337253895679,"[0.051355373557238085, 0.0316004184141063, 0.08953890315168932, 0.0, 0.0, 0.7374492465364498, 0.0, 0.003436694080913272, 0.004087201045790813, 0.0, 0.0, 0.0, 0.01898583603697808, 0.0, 0.0, 0.031775884777509984, 0.02761249604120184, 0.0, 0.0041579463581224805, 0.0]",0.03143009589445396,0.011943817138671875
23,0.03144317659885559,0.04077407514705715,0.03171323300920533,"[0.035609294558682586, 0.0, 0.012003770549445649, 0.0, 0.0, 0.7798380890610009, 0.07066350346186012, 0.030442907517708704, 0.0, 0.006571923284090006, 0.0, 0.0, 0.006520979839002081, 0.0, 0.0025770699022621395, 0.04627368689823124, 0.009498774927716664, 0.0, 0.0, 0.0]",0.03144317659885559,0.011912107467651367
24,0.031241948209223897,0.03911577008812518,0.0308694596335213,"[0.0, 0.013954796943168386, 0.0854605908789399, 0.006158963834976264, 0.0, 0.7804858272918005, 0.004652346140823203, 0.0, 0.0, 0.0, 0.04926869248492332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01278706054794628, 0.04723172187742219]",0.031241948209223897,0.011962890625
25,0.030285194297730404,0.03596220395942921,0.023544607943476983,"[0.0, 0.0, 0.047715335852810424, 0.0013914349293171048, 0.027189345856450442, 0.6167144889673082, 0.0, 0.21658137029349442, 0.0, 0.0, 0.0, 0.0, 0.04536120020571727, 0.0, 0.010925415795270501, 0.0, 0.029546983987963557, 0.004574424111668244, 0.0, 0.0]",0.030285194297730404,0.0119781494140625
26,0.03372928877449966,0.038456034316035774,0.029247242892543646,"[0.0, 0.0, 0.01503451978557841, 0.09248627364640233, 0.0, 0.7387621733154732, 0.016010580635917405, 0.026277535928984082, 0.023518492269988298, 0.0, 0.0, 0.0, 0.0, 0.021011360767374705, 0.0, 0.003389142215902509, 0.010216067599787026, 0.05329385383459211, 0.0, 0.0]",0.03372928877449966,0.01201772689819336
27,0.03189466113022246,0.03865638338158145,0.027167208456322773,"[0.016817806077504088, 0.0, 0.06310912735878085, 0.049958511678287444, 0.007809733277268133, 0.6706845457245304, 0.0, 0.18530703901784043, 0.0, 0.0, 0.0, 0.004154494607934053, 0.0, 0.0, 0.0, 0.0021587422578546425, 0.0, 0.0, 0.0, 0.0]",0.03189466113022246,0.011993885040283203
28,0.031116212207676394,0.03851861980148052,0.027387846977308162,"[0.04875008788419172, 0.04973850502283066, 0.0, 0.010959333148695512, 0.03984325974867822, 0.6925116044923083, 0.0, 0.11002471514721762, 0.0, 0.0, 0.016358928974483836, 0.006698322113224562, 0.0, 0.006443650845467692, 0.0, 0.0, 0.0, 0.0, 0.00775430269079667, 0.01091728993210509]",0.031116212207676394,0.011919975280761719
29,0.03179871175321505,0.03790746373271277,0.026810459429357086,"[0.05436005371178171, 0.016832085813783097, 0.0, 0.0, 0.0, 0.7033744488088233, 0.036762695541578544, 0.034317220691482575, 0.0, 0.04664568539890832, 0.0, 0.0, 0.012227814362151514, 0.0, 0.0, 0.07560499130711026, 0.0, 0.019875004364380684, 0.0, 0.0]",0.03179871175321505,0.01187896728515625
30,0.03310172127710624,0.040589086570436465,0.03202506053348733,"[0.08813887170546293, 0.0, 0.0, 0.0, 0.02186535765259949, 0.7835930644545704, 0.041162458373240104, 0.0, 0.0, 0.014119287821568589, 0.0, 0.026021935335681968, 0.012530990549786661, 0.0, 0.0, 0.0027253138819454898, 0.0, 0.0, 0.009842720225144477, 0.0]",0.03310172127710624,0.011921167373657227
