Run,Best Fitness,Expected Return,Portfolio Variance,Weights,Mean Fitness over Generations,Training Time
15,0.04097684791451644,0.04097684791451644,0.032906215884647816,"[0.009955814416517224, 0.007301320074928592, 0.017805946118406253, 0.0008629625808794194, 0.007496537563807396, 0.8044410681082685, 0.01685551780612156, 0.028185732918937317, 0.003251999374837432, 0.011590042953749338, 0.006285580498641172, 0.0042626171901295725, 0.0016717777164417965, 0.013784704662749179, 0.003894726883726842, 0.007337282311423886, 1.1245774514143705e-06, 0.026243772913299532, 0.014496922124322024, 0.014274549205361564]",0.029927227402610782,0.0334630012512207
16,0.042500565818464044,0.042500565818464044,0.03544320467311972,"[0.006758239689860378, 0.02454938128272031, 0.0011005955913674119, 0.0003813926196621327, 0.0007563656221072658, 0.8438635861172695, 0.01704664762535638, 0.01312719829231682, 0.006808036359684933, 0.0029107853380932794, 0.00613283425357514, 0.004462785256854643, 0.0017999537879291227, 0.01237551743791988, 0.004702381595818956, 0.00116316338804809, 0.02223655343283301, 0.00609943858336384, 0.023363834885780012, 0.00036130883943892496]",0.029315554118832562,0.03354692459106445
17,0.040624156367199994,0.040624156367199994,0.030945223955826183,"[0.07075090981836281, 0.02265669562141968, 0.00560697849135851, 0.030875707991206966, 0.00093114688900169, 0.7631208150467859, 0.00300300042231009, 0.024457749265287102, 0.0016652124377742343, 0.006560198590063293, 0.004964835310339876, 0.001793481199287681, 0.002217771357017904, 0.008101976545048975, 0.002456680464727771, 0.006571021970284749, 0.020856182821867623, 0.017270978955074866, 0.001031012744331672, 0.005107644058448463]",0.027879094656569663,0.033335208892822266
18,0.04357552437086319,0.04357552437086319,0.037475518440886015,"[0.0124537742887917, 0.0027131147146276157, 0.004576346168983991, 0.02097539830243103, 0.0010494358728733832, 0.869210347788611, 0.001256886961833832, 0.0258387318717416, 0.0023446935716133106, 0.0007679438408355328, 0.0003801073340161, 0.0038414048492261435, 0.015189032747009074, 0.006685451431678431, 0.009953326167021445, 0.0017412031661861247, 0.007210342016508937, 0.0031164502797161927, 0.007544105010544911, 0.0031519036157497335]",0.030540381538107092,0.033438920974731445
19,0.04323363791464262,0.04323363791464262,0.037066790231421,"[0.008259028574105712, 0.019431941896895358, 0.008146600180624209, 0.001533296536691354, 0.0012121232638466484, 0.8702858297310042, 0.003882456947125794, 0.0018418440801843275, 0.007650646422794779, 0.0034877847791289704, 0.0017872725631675414, 0.004200033859054954, 0.006795160372168629, 0.007258746093847658, 0.008881216726566504, 0.008280346975357462, 0.0032937769507429674, 0.00356779190272839, 0.018836162270950543, 0.011367939873013959]",0.030346249345668114,0.033740997314453125
20,0.040553143715192835,0.040553143715192835,0.031818123913792205,"[0.0212744514001244, 0.015095102724445492, 0.01760974952460614, 4.270877868939859e-05, 0.01136956237047066, 0.7890890289812484, 0.011845044322232297, 0.02385919230792403, 0.009973360234246319, 0.012876038337756827, 0.010588379682322225, 2.5770129178100788e-05, 0.0007698692370050373, 0.0011804596657241288, 0.004829445023031377, 0.04690169341333003, 0.008241152696895527, 0.003978969207154326, 0.008082531758689135, 0.0023674902049263214]",0.029444323743954223,0.03324604034423828
21,0.04061911869955195,0.04061911869955195,0.0316190335356215,"[0.017855323689151163, 0.005944732436452927, 0.022428759032290687, 0.0016534189682649845, 0.0023430108228488264, 0.7832042246266765, 0.025420718200390303, 0.0400057101831511, 0.0043767373923416526, 0.006358391570771157, 0.0008299969467272448, 0.008965119059758038, 0.006364527989752796, 0.010605048094434452, 0.004744316234811985, 0.014538287230407603, 0.028619125117690564, 0.01147310403134643, 0.002669856178815909, 0.0015995921939158182]",0.029439584079484625,0.033135175704956055
22,0.04343076202905205,0.04343076202905205,0.036513952930213124,"[0.03708933639083407, 0.023473789881942056, 1.4918860787757134e-05, 0.0004572067334000824, 0.00496388895729638, 0.852943992062344, 0.0021161345184370424, 0.015321309863574696, 0.0039458291391475785, 0.012018031944459748, 0.0013453119865717363, 0.0021009343695906615, 0.006596405189934966, 0.01696763887926901, 0.002335384016537342, 0.0007242277434218075, 0.00568905074399835, 0.00322079406906418, 0.008664268985421868, 1.1545663966690607e-05]",0.030804529540751368,0.03324604034423828
23,0.04012457082344937,0.04012457082344937,0.031046350413072236,"[0.054945024556847875, 0.0005018839376477604, 0.03835935304583852, 0.0005404533939116423, 0.015294420378664877, 0.7749545583860302, 0.003403728623171888, 0.003416975248819604, 0.01753035466606793, 0.013653097381585991, 0.0050153611940137385, 0.0009278608712133809, 0.006035701068882447, 0.004153675651278958, 0.001053899462615012, 0.02719991904798475, 0.0016768701607987133, 0.02340466057130999, 0.0035505853908315435, 0.004381616962484976]",0.02837708694103217,0.033284664154052734
24,0.04144590541483832,0.04144590541483832,0.03391394625329446,"[0.01417077707587683, 0.023727440238362145, 0.005720610219774412, 0.002023041703160655, 0.0021537580718978397, 0.8215922584458142, 0.003051711035987997, 0.0112508995900917, 0.013736337871087436, 0.026047613077510776, 0.011622897425177255, 0.00033291761542926783, 0.005637619553411484, 0.013023713324710275, 0.0021537088981799725, 0.007824608893271376, 0.005925585058397406, 0.0005785745923423417, 0.021447262257971857, 0.007978665051545117]",0.030630025268860918,0.033956050872802734
25,0.041067848885117754,0.041067848885117754,0.03306736894507981,"[0.02599778341589796, 0.003612745602529752, 0.020833457660126717, 0.000549662921454877, 0.003921271269162078, 0.8090608522443636, 0.00019362806589529982, 0.019405105924220647, 0.013861862463670566, 0.012781608137655786, 0.0036091551115877366, 0.009584700008353845, 0.008336791235008561, 0.012050226378805581, 0.012462920024606666, 0.004347506316070817, 0.0008065414297886189, 0.020321386179219737, 0.004523413293592587, 0.013739382317988479]",0.02968770477810467,0.0336761474609375
26,0.04156322139154424,0.04156322139154424,0.033992792501519896,"[0.006681727137200891, 0.03408048883302995, 0.007385862270450325, 0.0013013955988537677, 0.008385059591884287, 0.8266002025925401, 0.009258789119629861, 0.013502971001337355, 0.00017133748737219875, 0.0006212736125138441, 0.005950996772217251, 0.018488298240141476, 0.008523112940473622, 0.008957247920557682, 0.006820882397823351, 0.0052139784962850965, 0.0026205396900825157, 0.00864055444370773, 0.00810329680206416, 0.01869198505183471]",0.030111493776408253,0.033783912658691406
27,0.04231484194166869,0.04231484194166869,0.035531400831645,"[0.019707217480734777, 0.01017612144573771, 0.022904629374368747, 0.02646300487382958, 0.004474600420677614, 0.8428219161668609, 0.0010516020656455023, 0.004857340458586838, 0.0031868427039990306, 0.004736050980015334, 0.010699260727546286, 0.01035815293143676, 0.0036059883864491883, 0.004856199194004193, 0.007292388920983989, 0.014834137350635181, 0.0035508183316651206, 0.0010345762527671947, 0.003127472789416721, 0.00026167914463937775]",0.03054433964371561,0.03359580039978027
28,0.04234122749748298,0.04234122749748298,0.035615894867817174,"[0.01293787038232701, 0.02377613679359795, 0.008328300628722151, 0.01156692670727834, 0.013967992240625044, 0.8465240740244798, 0.007050463463910885, 0.0012688613749277922, 0.0021880788158164777, 0.0011914538838671493, 0.0018788604202396944, 0.013894773283693448, 0.0024677240526266423, 0.022192259133380243, 0.0028377461346780204, 0.007585250755445983, 0.004810570523405899, 0.00479836971251961, 0.005549654619460183, 0.005184633048997601]",0.030076759536220053,0.033326148986816406
29,0.03981982153394103,0.03981982153394103,0.030504177772201154,"[0.010367520398853525, 0.07786348564196172, 0.001791949098908399, 0.012084161062660567, 0.006155623038893315, 0.7703846649846368, 0.0009729133588558725, 0.005833494223509754, 0.009875575876819032, 0.01429876252169777, 0.023475806847209055, 0.000607827889677802, 0.00073244534686646, 0.0006598868207946462, 0.0033083733953586545, 0.002532835876295855, 0.03209779836027236, 0.00404385886320899, 0.017084979553592908, 0.00582803683992681]",0.027457586683113745,0.033380746841430664
30,0.04036072998737924,0.04036072998737924,0.031223648017748712,"[0.013858285714984897, 0.03439077885484822, 0.00548614965686429, 0.005319342966733522, 0.005742211988807801, 0.7825922151778222, 0.003937918157792623, 0.028428449494338627, 0.020658043349268202, 0.001083052128603965, 0.0005229436227029946, 0.000539519232582488, 0.009681982213797555, 0.004391688965201758, 0.015392148824770463, 0.004983321835615666, 0.016659700880329625, 0.02133803821393258, 0.0008494045129147941, 0.024144804208087838]",0.0288654951003977,0.033385276794433594
