Algorithm,Mean Return,Std Return,Mean Variance,Std Variance,Mean Training Time,Std Training Time
EP Basic,0.04147168600600184,0.0009989488196300634,0.033568724596831835,0.0018909960176589906,0.0333731889724731,0.000315245132819069
EP Advanced,0.018600575751608603,0.000379549052821506,0.004039582039021647,0.00010146823254081784,0.08030249277750648,0.004743720606214715
ES Basic,0.03867153268053687,0.0019801222363671034,0.02872924983265959,0.003624531302849271,0.011915953954060829,0.00026004292114043974
ES Advanced,0.011382641698564788,0.0015660538538052366,0.004162112712599526,0.0004015774837288127,0.005794254938761343,0.0002583244252301254
ES (μ + λ),0.0449053805667456,0.000841925473183083,0.039701425997665026,0.001587400981722863,0.0429037491480509,0.00047065397815528195
"ES (μ, λ)",0.029695219618176703,0.0018110147080149287,0.01717586064847183,0.0027370362761415658,0.04190491040547686,0.0008322786251262732
