Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,147.70555114746094,148.0019073486328,146.7877655029297,147.46653747558594,107.53040313720703,4395815
2018-01-03,150.420654296875,152.7820281982422,149.45506286621094,151.52008056640625,110.4862060546875,9875914
2018-01-04,152.62905883789062,155.181640625,152.3613739013672,154.5889129638672,112.72396087646484,7903785
2018-01-05,155.29637145996094,155.73614501953125,154.01528930664062,155.3441619873047,113.27467346191406,5434807
2018-01-08,155.50669860839844,156.70172119140625,154.5889129638672,156.28106689453125,113.95787811279297,5478425
2018-01-09,156.69215393066406,157.29444885253906,155.88909912109375,156.625244140625,114.20883178710938,4541523
2018-01-10,155.74569702148438,157.10325622558594,155.35372924804688,156.95985412597656,114.45280456542969,4366109
2018-01-11,157.55258178710938,157.68641662597656,156.11854553222656,156.97897338867188,114.4667739868164,3969047
2018-01-12,156.806884765625,157.49522399902344,155.8604278564453,155.965576171875,113.72782135009766,5263367
2018-01-16,157.83938598632812,158.02102661132812,156.16635131835938,156.6443634033203,114.2227554321289,8152733
2018-01-17,160.6214141845703,161.69215393066406,159.90440368652344,161.2332763671875,117.56893920898438,12248660
2018-01-18,162.52389526367188,163.6042022705078,160.75526428222656,161.68260192871094,117.89654541015625,14915228
2018-01-19,157.2275390625,158.12619018554688,154.2064971923828,155.2294464111328,113.19102478027344,22146435
2018-01-22,154.4072723388672,156.76864624023438,154.0248565673828,155.44932556152344,113.3513412475586,8870917
2018-01-23,155.65965270996094,158.94837951660156,155.36329650878906,158.93881225585938,115.89583587646484,7809645
2018-01-24,159.4168243408203,161.30018615722656,157.5717010498047,158.09751892089844,115.28238677978516,5904670
2018-01-25,158.61376953125,159.4455108642578,157.92543029785156,158.193115234375,115.35208129882812,3454415
2018-01-26,158.8145294189453,160.0478057861328,158.49903869628906,159.9808807373047,116.65570831298828,3962143
2018-01-29,160.08604431152344,160.98471069335938,158.70936584472656,159.46463012695312,116.2792739868164,3678782
