Algorithm,Mean Return,Std Return,Mean Variance,Std Variance,Mean Training Time,Std Training Time
EP Basic,0.0414410292059115,0.000934058383208377,0.03362175672099069,0.001543678662772331,0.03719069957733149,0.001534047648171849
EP Advanced,0.018526948620718284,0.00043731184478502716,0.00401689035734901,0.00013017689205177202,0.08093355496724444,0.0015713124284802188
ES Basic,0.039181435835387975,0.0022345836543351057,0.029271346682096293,0.003818448179159583,0.011937395731608019,0.00027419200775209175
ES Advanced,0.018061731298383475,0.000830673102098114,0.003980076878235903,0.00028108834055040876,0.16235375404357907,0.0017953166309830051
ES (μ + λ),0.045267502345889644,0.0011787270498363907,0.04034141114505339,0.002319292551173549,0.042909701665242474,0.0003145527634843859
"ES (μ, λ)",0.029769099805699584,0.0023619115601655172,0.017637758701822482,0.0030934428159869426,0.04232007662455237,0.0007393164514056143
