Algorithm,Mean Return,Std Return,Coefficient of Variation
EP Basic,0.0414410292059115,0.000934058383208377,0.02253945910868292
EP Advanced,0.018526948620718284,0.00043731184478502716,0.023604094432258037
ES Basic,0.039181435835387975,0.0022345836543351057,0.057031693879805945
ES Advanced,0.018061731298383475,0.000830673102098114,0.04599077953133204
ES (μ + λ),0.045267502345889644,0.0011787270498363907,0.026039144833521412
"ES (μ, λ)",0.029769099805699584,0.0023619115601655172,0.07934104744790793
